Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    

tweak_add_check                    ,    20.6       ,    20.6       ,    20.8    
tweak_check_batch_verify_1         ,    21.0       ,    22.2       ,    24.0    
tweak_check_batch_verify_2         ,    19.0       ,    20.0       ,    22.5    
tweak_check_batch_verify_3         ,    17.0       ,    17.3       ,    18.0    
tweak_check_batch_verify_4         ,    16.0       ,    16.3       ,    16.8    
tweak_check_batch_verify_5         ,    15.4       ,    15.8       ,    16.8    
tweak_check_batch_verify_7         ,    14.7       ,    14.9       ,    15.1    
tweak_check_batch_verify_9         ,    14.2       ,    14.5       ,    14.9    
tweak_check_batch_verify_11        ,    13.9       ,    14.0       ,    14.2    
tweak_check_batch_verify_14        ,    13.8       ,    13.9       ,    14.1    
tweak_check_batch_verify_17        ,    13.8       ,    13.9       ,    14.1    
tweak_check_batch_verify_21        ,    13.5       ,    13.8       ,    14.1    
tweak_check_batch_verify_26        ,    13.3       ,    13.5       ,    13.9    
tweak_check_batch_verify_32        ,    13.5       ,    13.5       ,    13.6    
tweak_check_batch_verify_39        ,    13.3       ,    13.4       ,    13.5    
tweak_check_batch_verify_47        ,    13.2       ,    13.3       ,    13.5    
tweak_check_batch_verify_57        ,    13.4       ,    20.4       ,    46.3    
tweak_check_batch_verify_69        ,    14.0       ,    14.1       ,    14.5    
tweak_check_batch_verify_83        ,    13.9       ,    14.0       ,    14.2    
tweak_check_batch_verify_100       ,    13.9       ,    14.2       ,    14.8    
tweak_check_batch_verify_121       ,    13.9       ,    14.0       ,    14.2    
tweak_check_batch_verify_146       ,    13.8       ,    14.0       ,    14.3    
tweak_check_batch_verify_176       ,    13.9       ,    14.0       ,    14.1    
tweak_check_batch_verify_212       ,    13.7       ,    13.9       ,    14.0    
tweak_check_batch_verify_255       ,    13.8       ,    13.9       ,    14.1    
tweak_check_batch_verify_307       ,    13.9       ,    13.9       ,    14.0    
tweak_check_batch_verify_369       ,    13.8       ,    14.0       ,    14.2    
tweak_check_batch_verify_443       ,    13.8       ,    13.9       ,    14.0    
tweak_check_batch_verify_532       ,    13.9       ,    13.9       ,    13.9    
tweak_check_batch_verify_639       ,    13.8       ,    13.9       ,    14.0    
tweak_check_batch_verify_767       ,    13.8       ,    13.9       ,    13.9    
tweak_check_batch_verify_921       ,    13.8       ,    13.8       ,    13.9    
tweak_check_batch_verify_1106      ,    13.8       ,    13.8       ,    13.8    
tweak_check_batch_verify_1328      ,    13.7       ,    13.8       ,    13.8    
tweak_check_batch_verify_1594      ,    13.7       ,    13.9       ,    14.5    
tweak_check_batch_verify_1913      ,    13.5       ,    13.9       ,    14.5    
tweak_check_batch_verify_2296      ,    13.4       ,    13.8       ,    14.4    
tweak_check_batch_verify_2756      ,    13.2       ,    13.7       ,    14.3    
tweak_check_batch_verify_3308      ,    13.2       ,    13.6       ,    14.1    
tweak_check_batch_verify_3970      ,    13.1       ,    13.5       ,    14.1    
tweak_check_batch_verify_4765      ,    13.1       ,    13.4       ,    14.1    
tweak_check_batch_verify_5719      ,    13.1       ,    13.4       ,    14.0    
tweak_check_batch_verify_6863      ,    13.1       ,    13.3       ,    13.9    
tweak_check_batch_verify_8236      ,    13.1       ,    13.3       ,    13.9    
